Year,Action Type,Details,Capital Cost (EUR),Operating Cost (EUR),Location X,Location Y,Generator Type,Power Output (MW),Efficiency,CO2 Output (tonnes),Operation Percentage,Lifespan (years),Previous State,Impact Description
2025,Do Nothing,"",0.00,0.00,0.0,0.0,"",0.00,0.000,0.00,0,0,"",""
2025,Adjust Operation,"Existing_OnshoreWind_4 to 80%",0.00,0.00,8929.4,11370.0,"OnshoreWind",13.30,0.990,0.00,80,25,"Previous Operation","Adjusted operation from 100% to 80%"
2026,Adjust Operation,"Existing_OnshoreWind_4 to 80%",0.00,0.00,8929.4,11370.0,"OnshoreWind",13.30,0.990,0.00,80,25,"Previous Operation","Adjusted operation from 100% to 80%"
2027,Adjust Operation,"Existing_OnshoreWind_4 to 80%",0.00,0.00,8929.4,11370.0,"OnshoreWind",13.30,0.990,0.00,80,25,"Previous Operation","Adjusted operation from 100% to 80%"
2028,Adjust Operation,"Existing_OnshoreWind_4 to 80%",0.00,0.00,8929.4,11370.0,"OnshoreWind",13.30,0.990,0.00,80,25,"Previous Operation","Adjusted operation from 100% to 80%"
2029,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2029,Add Generator,"DomesticSolar",8852.93,177.06,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2029,Add Generator,"OffshoreWind",1921192.02,62438.74,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2030,Add Generator,"GasPeaker",608326451.20,121665.29,0.0,0.0,"GasPeaker",400.00,1.000,700.00,100,25,"New Installation","Added new GasPeaker power generation capacity"
2030,Add Generator,"DomesticSolar",8587.34,171.75,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2030,Add Generator,"OffshoreWind",1901980.10,61814.35,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2033,Do Nothing,"",0.00,0.00,0.0,0.0,"",0.00,0.000,0.00,0,0,"",""
2033,Add Generator,"OffshoreWind",1845489.39,59978.41,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2035,Add Generator,"DomesticSolar",7374.24,147.48,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2035,Add Generator,"CommercialSolar",73742.41,7374.24,0.0,0.0,"CommercialSolar",50.00,1.000,0.00,100,25,"New Installation","Added new CommercialSolar power generation capacity"
2035,Add Generator,"GasCombinedCycle",1480244284.92,148024.43,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2035,Add Carbon Offset,"Wetland",15000000.00,750000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Wetland carbon offset project"
2035,Add Generator,"BatteryStorage",500000000.00,10000000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2037,Add Generator,"OnshoreWind",886384.87,39887.32,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2037,Add Generator,"CommercialSolar",69384.24,6938.42,0.0,0.0,"CommercialSolar",50.00,1.000,0.00,100,25,"New Installation","Added new CommercialSolar power generation capacity"
2038,Add Generator,"TidalGenerator",1500000000.00,118000.00,0.0,0.0,"TidalGenerator",200.00,1.130,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2039,Add Generator,"BatteryStorage",500000000.00,10000000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2041,Add Generator,"UtilitySolar",614253.65,6142.54,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2041,Add Generator,"OffshoreWind",1702915.54,55344.76,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2042,Add Carbon Offset,"Wetland",15000000.00,750000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Wetland carbon offset project"
2042,Add Generator,"TidalGenerator",1500000000.00,118000.00,0.0,0.0,"TidalGenerator",200.00,1.170,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2042,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2043,Add Generator,"OnshoreWind",834513.76,37553.12,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2044,Add Generator,"WaveEnergy",1000000000.00,145000.00,0.0,0.0,"WaveEnergy",100.00,1.190,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2045,Add Generator,"OffshoreWind",1635813.88,53163.95,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2047,Do Nothing,"",0.00,0.00,0.0,0.0,"",0.00,0.000,0.00,0,0,"",""
2047,Add Generator,"OnshoreWind",801630.59,36073.38,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2048,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2048,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2049,Add Generator,"BatteryStorage",500000000.00,10000000.00,0.0,0.0,"BatteryStorage",500.00,1.000,0.00,100,15,"New Installation","Added new BatteryStorage power generation capacity"
2049,Add Generator,"UtilitySolar",481417.22,4814.17,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2049,Add Generator,"UtilitySolar",481417.22,4814.17,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2050,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
