Year,Offset ID,Type,X,Y,Latitude,Longitude,Size,Capture Efficiency (%),Power Consumption (MW),CO2 Offset (tonnes),Negative CO2 Emissions (tonnes),Cost (€),Operating Cost (€),Total Annual Cost (€),Cost Per Tonne (€)
2031,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,820555256.16,92981.51,820648237.68,1980292.49
2031,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,820555256.16,92981.51,820648237.68,2645086.70
2031,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,758.84,-758.84,1184934.77,17774.02,1202708.79,1584.94
2031,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,66643769.34,6285.46,66650054.80,381261.43
2031,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1120.38,-1120.38,1184934.77,17774.02,1202708.79,1073.48
2031,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,820555256.16,92981.51,820648237.68,1633300.41
2032,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,793948751.98,91860.62,794040612.60,1916086.07
2032,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,793948751.98,91860.62,794040612.60,2559325.87
2032,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,846.67,-846.67,1218924.62,18283.87,1237208.49,1461.26
2032,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,69912979.45,6529.78,69919509.22,399963.84
2032,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1250.07,-1250.07,1218924.62,18283.87,1237208.49,989.71
2032,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,793948751.98,91860.62,794040612.60,1580344.41
2033,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,768204963.70,90753.24,768295716.94,1853961.50
2033,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,768204963.70,90753.24,768295716.94,2476345.76
2033,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,926.15,-926.15,1253889.47,18808.34,1272697.82,1374.18
2033,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,73342560.65,6783.59,73349344.24,419583.69
2033,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1367.42,-1367.42,1253889.47,18808.34,1272697.82,930.73
2033,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,768204963.70,90753.24,768295716.94,1529105.47
2034,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,743295917.75,89659.21,743385576.96,1793851.26
2034,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,743295917.75,89659.21,743385576.96,2396056.20
2034,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,998.07,-998.07,1289857.29,19347.86,1309205.15,1311.74
2034,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,76940379.96,7047.27,76947427.23,440165.97
2034,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1473.60,-1473.60,1289857.29,19347.86,1309205.15,888.44
2034,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,743295917.75,89659.21,743385576.96,1479527.91
2035,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,719194547.62,88578.37,719283125.99,1735690.04
2035,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,719194547.62,88578.37,719283125.99,2318369.97
2035,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1063.14,-1063.14,1326856.85,19902.85,1346759.70,1266.78
2035,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,80714690.30,7321.20,80722011.50,461757.90
2035,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1569.67,-1569.67,1326856.85,19902.85,1346759.70,857.99
2035,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,719194547.62,88578.37,719283125.99,1431557.85
2035,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1176.58,-1176.58,1326856.85,19902.85,1346759.70,1144.64
