Year,Offset ID,Type,X,Y,Latitude,Longitude,Size,Capture Efficiency (%),Power Consumption (MW),CO2 Offset (tonnes),Negative CO2 Emissions (tonnes),Cost (€),Operating Cost (€),Total Annual Cost (€),Cost Per Tonne (€)
2046,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1633.39,-1633.39,1811050.45,27165.76,1838216.21,1125.40
2047,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,484241548.57,76580.97,484318129.55,1168699.95
2047,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,484241548.57,76580.97,484318129.55,1561038.44
2047,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1495.50,-1495.50,1863000.44,27945.01,1890945.44,1264.42
2047,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,143394231.66,11569.55,143405801.21,820330.92
2047,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2208.04,-2208.04,1863000.44,27945.01,1890945.44,856.39
2047,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,484241548.57,76580.97,484318129.55,963917.26
2047,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1655.08,-1655.08,1863000.44,27945.01,1890945.44,1142.51
2048,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,468540016.36,75657.79,468615674.15,1130808.62
2048,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,468540016.36,75657.79,468615674.15,1510426.79
2048,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1513.24,-1513.24,1916440.60,28746.61,1945187.21,1285.45
2048,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,150428435.69,12019.26,150440454.95,860571.58
2048,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2234.22,-2234.22,1916440.60,28746.61,1945187.21,870.63
2048,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,468540016.36,75657.79,468615674.15,932665.35
2048,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1674.71,-1674.71,1916440.60,28746.61,1945187.21,1161.51
2049,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,453347606.33,74745.74,453422352.06,1094145.87
2049,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,453347606.33,74745.74,453422352.06,1461456.17
2049,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1529.28,-1529.28,1971413.70,29571.21,2000984.91,1308.44
2049,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,157807702.60,12486.45,157820189.05,902786.22
2049,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2257.92,-2257.92,1971413.70,29571.21,2000984.91,886.21
2049,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,453347606.33,74745.74,453422352.06,902426.74
2049,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1692.47,-1692.47,1971413.70,29571.21,2000984.91,1182.29
2050,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,438647810.19,73844.68,438721654.87,1058671.86
2050,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,438647810.19,73844.68,438721654.87,1414073.36
2050,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1543.80,-1543.80,2027963.70,30419.46,2058383.16,1333.32
2050,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,165548959.45,12971.80,165561931.25,947071.67
2050,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2279.35,-2279.35,2027963.70,30419.46,2058383.16,903.06
2050,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,438647810.19,73844.68,438721654.87,873168.58
2050,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1708.54,-1708.54,2027963.70,30419.46,2058383.16,1204.76
